solute_inchi_std,molefrac,molefrac2,solute_smiles_canonical,solvent1_smiles_canonical,solvent2_smiles_canonical,Temperature [K],logS,Source,solvent1_density,solvent2_density,solvent_avg_density
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.703039093,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,12.89940539
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.574215111,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.80892873
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.487194569,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.71732742
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.962191933,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.30436695
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.866478509,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.21618522
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.749253135,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.12704631
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.64502544,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.03691223
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.585109327,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,12.9457425
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.471518731,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.8534939
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.400826627,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.76012019
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.892444996,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.35784492
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.791194757,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.26788008
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.689573033,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.17695822
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.589862345,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.08504139
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.491694245,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,12.99208911
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.395321075,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.89805816
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.30051481,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.80290234
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.83669681,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.4113768
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.72047607,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.31961589
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.616803422,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.22689881
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.515020142,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.1331876
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.414805098,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.0384418
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.316501955,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.94261824
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.608,0.392,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.219700129,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.84567073
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.777371535,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.46501308
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.659773094,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.37144144
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.55159245,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.27691511
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.445150466,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.18139617
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.340654968,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.0848442
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.237831239,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.98721606
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.136675539,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.8884656
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.692973929,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.51869629
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.574161423,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.42330112
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.466012468,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.32695342
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.36138891,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.22961533
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.260725612,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.13124645
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.163762101,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,13.03180369
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.052479065,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.93124093
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.55749786,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.57247767
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.453989271,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.47524439
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.354073777,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.37706145
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.255798529,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.27789101
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.159257453,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.17769273
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.064362078,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,13.07642355
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,0.013879082,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.97403744
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1205,0.8795,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,293.15,-1.541021334,10.1016/j.molliq.2020.112619,13.37501999,10.90387454,11.1521592
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1205,0.8795,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,298.15,-1.449749588,10.1016/j.molliq.2020.112619,13.30387411,10.8474779,11.09431349
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1205,0.8795,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,303.15,-1.361694298,10.1016/j.molliq.2020.112619,13.23197371,10.79058048,11.0359438
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1205,0.8795,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,308.15,-1.27466965,10.1016/j.molliq.2020.112619,13.15929234,10.73316659,10.97703346
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1205,0.8795,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,313.15,-1.188087771,10.1016/j.molliq.2020.112619,13.08580205,10.67521973,10.91756494
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1205,0.8795,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,318.15,-1.108144927,10.1016/j.molliq.2020.112619,13.0114732,10.61672252,10.85751976
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1205,0.8795,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,323.15,-1.026683634,10.1016/j.molliq.2020.112619,12.93627436,10.55765665,10.79687841
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2357,0.7643,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,293.15,-1.495924519,10.1016/j.molliq.2020.112619,13.37501999,10.90387454,11.4003307
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2357,0.7643,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,298.15,-1.411321423,10.1016/j.molliq.2020.112619,13.30387411,10.8474779,11.34102925
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2357,0.7643,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,303.15,-1.328552136,10.1016/j.molliq.2020.112619,13.23197371,10.79058048,11.28118012
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2357,0.7643,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,308.15,-1.248409523,10.1016/j.molliq.2020.112619,13.15929234,10.73316659,11.22076564
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2357,0.7643,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,313.15,-1.172748373,10.1016/j.molliq.2020.112619,13.08580205,10.67521973,11.15976721
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2357,0.7643,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,318.15,-1.090831437,10.1016/j.molliq.2020.112619,13.0114732,10.61672252,11.09816521
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2357,0.7643,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,323.15,-1.014191118,10.1016/j.molliq.2020.112619,12.93627436,10.55765665,11.03593894
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3458,0.6542,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,293.15,-1.477380281,10.1016/j.molliq.2020.112619,13.37501999,10.90387454,11.64806234
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3458,0.6542,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,298.15,-1.394438489,10.1016/j.molliq.2020.112619,13.30387411,10.8474779,11.58730042
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3458,0.6542,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,303.15,-1.314040546,10.1016/j.molliq.2020.112619,13.23197371,10.79058048,11.52596664
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3458,0.6542,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,308.15,-1.236511702,10.1016/j.molliq.2020.112619,13.15929234,10.73316659,11.46404232
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3458,0.6542,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CCCO,CCCCO,313.15,-1.161282338,10.1016/j.molliq.2020.112619,13.08580205,10.67521973,11.40150778
