solute_inchi_std,molefrac,molefrac2,solute_smiles_canonical,solvent1_smiles_canonical,solvent2_smiles_canonical,Temperature [K],logS,Source,solvent1_density,solvent2_density,solvent_avg_density,solvent_density,solvent_smiles_canonical,MP_pred,MP_std,logS_calc,gamma
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-1.060849253,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.2509467,13.2509467,CC(C)=O,440.01352,11.598891,-0.43984502498952016,1.624390959739685
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.937099959,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.16453505,13.16453505,CC(C)=O,440.01352,11.598891,-0.3618430982541054,1.576694369316101
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.844072221,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.07716668,13.07716668,CC(C)=O,440.01352,11.598891,-0.2851231828618407,1.5268495082855225
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.752572724,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,12.98880363,12.98880363,CC(C)=O,440.01352,11.598891,-0.21206139000933635,1.4836091995239258
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.703039093,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,12.89940539,12.89940539,CC(C)=O,440.01352,11.598891,-0.1408816391743864,1.4409246444702148
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.574215111,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.80892873,12.80892873,CC(C)=O,440.01352,11.598891,-0.06978537181773557,1.3933364152908325
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.3071,0.6929000000000001,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.487194569,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.71732742,12.71732742,CC(C)=O,440.01352,11.598891,0.0008211947524142381,1.3429412841796875
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.962191933,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.30436695,13.30436695,CC(C)=O,440.01352,11.598891,-0.3919912613998087,1.4607775211334229
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.866478509,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.21618522,13.21618522,CC(C)=O,440.01352,11.598891,-0.31726067895211274,1.4284520149230957
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.749253135,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.12704631,13.12704631,CC(C)=O,440.01352,11.598891,-0.24421275716685173,1.3948874473571777
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.64502544,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.03691223,13.03691223,CC(C)=O,440.01352,11.598891,-0.1719527382528228,1.357739806175232
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.585109327,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,12.9457425,12.9457425,CC(C)=O,440.01352,11.598891,-0.10102619274220785,1.3192986249923706
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.471518731,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.8534939,12.8534939,CC(C)=O,440.01352,11.598891,-0.029403864827929543,1.2740395069122314
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.4081,0.5919,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.400826627,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.76012019,12.76012019,CC(C)=O,440.01352,11.598891,0.04242241006368205,1.224375605583191
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.892444996,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.35784492,13.35784492,CC(C)=O,440.01352,11.598891,-0.3523049218358324,1.338566541671753
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.5084,0.4916,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.791194757,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.26788008,13.26788008,CC(C)=O,440.01352,11.598891,-0.27811965156253377,1.3104488849639893
